fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
1,PARADIJS BIJ HEL,23,59,2.6,,,,,,,,,,,,,,,,17.4,,32.7,46.9,8.2,4.1,,,
2,PARASASA,78,171,2.2,82,16.4,65.5,18.1,52,48,48,17.5,34.5,9.9,66.7,8522,,,,70.5,5.1,23.2,46.5,4.9,12.7,,,
3,PARERA,22,56,2.5,,,,,,,,,,,,,,,,22.7,4.5,25.5,51.1,8.5,4.3,,,
4,PIETERMAAI,44,99,1.8,,,,,,,,,,,,,,,,11.9,11.4,34.1,35.2,2.3,5.7,,,
5,PISCADERA BERDE,72,346,2.7,92,13,49.4,37.6,67.5,32.5,35,15.8,49.2,4.5,82.3,8593,,0.9,71.8,59.7,,36.2,36.5,14,7.8,,,
6,PLANTERSRUST,50,135,2.7,73,17.8,65.2,17,65.9,34.1,34.1,16.3,49.6,0.8,78.5,6375,,,,66,6,39.4,33.9,8.3,11,,,
7,POPO,136,358,2.6,86,22.6,70.1,7.3,64,36,36,20.4,43.6,4.3,64.7,5033,,10.2,74.4,6.6,4.5,26.5,46.3,3.7,12.3,,,
8,POS CABAI,61,138,2.3,70,22.5,52.9,24.6,53.6,46.4,46.4,23.9,29.7,12.4,58.7,10351,,,,4.9,1.6,20.4,55.3,9.7,2.9,,,
9,PRETU BIJ DE SAVAAN,18,44,2.4,,,,,,,,,,,,,,,,50,,38.9,36.1,8.3,11.1,,,
10,ABRAHAMSZ,220,573,2.5,85,16.2,65.1,18.7,71.3,28.7,28.7,22.2,49,2.3,59,7556,33,4.4,60.3,3.3,0.8,28.8,43.4,7.3,10,,,
11,SUFFISANT,684,1838,2.7,81,17.5,63.1,19.4,70.7,29.3,29.4,26.3,44.3,3,60.3,4180,61,8.5,55.9,8.7,3.4,38.6,34.1,9.6,8.4,,,
12,MARIA MAAI,245,676,2.5,78,19.5,61.2,19.2,76.8,23.2,23.2,19.2,57.6,3.2,66.9,4637,67,9,58.8,4.5,4.5,42.6,34.2,7.9,7.1,,,
13,RANCHO,27,57,2.1,,,,,,,,,,,,,,,,14.8,12,42.2,11.1,6.7,31.1,,,
14,AMSTERDAM BIJ STA. ROSA,136,383,2.8,82,21.4,72.1,6.5,82.5,17.5,17.7,18.5,63.9,4.1,65.9,7081,78,7.1,65.4,8.8,2.2,36.4,42.4,3.4,11.8,,,
